event_popularity,days_before_event,seat_location,original_price,fair_price
9,47,2,1200,2100
5,47,1,800,900
8,2,1,800,1400
5,32,3,500,900
5,45,3,2500,4600
6,37,2,500,700
10,27,2,1500,2700
9,48,2,800,1400
10,6,2,2000,3900
8,51,1,3000,3900
5,59,2,800,1100
6,53,3,2000,3800
7,45,1,500,600
6,5,1,800,1100
9,29,3,2000,4500
10,22,1,1500,2200
10,40,1,1200,1700
10,24,2,1200,2200
6,14,1,2000,2400
9,4,1,2000,3300
7,31,2,3000,4700
10,8,1,1500,2200
8,57,3,2500,5300
6,8,3,3000,5800
9,55,1,1000,1400
10,27,3,800,1900
9,38,2,1500,2600
5,43,3,800,1500
6,49,3,2000,3800
10,27,1,3000,4300
10,56,3,1500,3500
5,32,1,1500,1700
7,12,1,2000,2500
10,49,3,500,1200
8,31,1,800,1000
7,15,1,1200,1500
7,5,3,3000,7000
10,49,1,1000,1400
8,10,2,2500,4100
7,48,3,1200,2400
8,42,3,2000,4300
8,28,1,1200,1600
5,21,1,1200,1300
7,0,1,500,900
5,57,1,2000,2200
10,15,2,3000,5400
7,8,3,3000,6100
6,51,2,1200,1800
9,42,2,2000,3400
9,29,3,500,1100
9,25,3,2000,4500
9,12,1,3000,4100
10,11,2,3000,5400
5,28,3,800,1500
10,34,1,800,1200
5,26,2,3000,4200
6,57,1,1000,1200
8,24,2,3000,4900
8,44,3,3000,6400
9,18,1,500,700
9,34,1,2000,2800
8,37,2,1000,1600
10,5,1,800,1300
7,43,1,2500,3100
10,15,3,500,1200
7,26,3,2000,4100
7,42,3,2000,4100
6,25,1,1500,1800
7,59,1,500,600
8,36,1,800,1000
5,32,2,1000,1400
6,56,1,2000,2400
7,28,3,1500,3000
9,33,1,1500,2100
9,16,1,800,1100
5,17,2,1200,1700
6,43,3,1500,2900
6,16,1,800,900
9,2,1,2000,3700
10,16,1,3000,4300
7,27,3,500,1000
9,60,3,1000,2200
5,53,2,1000,1400
8,2,2,2000,4500
9,13,3,1200,2700
10,49,3,2500,5800
9,9,1,1000,1400
10,1,1,2000,4100
10,55,3,1200,2800
7,50,3,800,1600
8,54,2,1200,2000
6,22,2,1200,1800
5,42,1,2500,2800
7,55,1,1500,1900
8,32,2,2000,3300
8,56,2,1000,1600
8,2,1,2500,4500
8,50,2,2500,4100
9,7,2,1200,2100
7,45,2,500,800
7,43,3,1200,2400
7,4,3,2000,4900
8,42,1,1500,2000
6,42,2,2000,3000
10,18,3,1000,2300
6,42,2,1000,1500
9,19,2,500,900
8,13,2,2000,3300
7,28,3,1200,2400
6,50,3,1000,1900
10,32,3,2000,4700
9,43,2,1200,2100
5,1,1,1200,1900
8,54,1,3000,3900
10,36,1,2500,3600
7,15,1,500,600
10,14,1,3000,4300
10,15,1,3000,4300
10,42,3,2000,4700
8,52,3,2500,5300
6,57,1,3000,3600
7,48,1,1500,1900
6,40,1,1500,1800
6,45,2,1200,1800
8,20,3,800,1700
9,14,2,1000,1700
5,26,2,2000,2800
6,26,1,1200,1400
9,57,3,500,1100
8,30,1,2000,2600
8,54,2,1200,2000
6,17,2,3000,4400
9,21,3,2500,5600
10,58,1,500,700
10,36,3,500,1200
10,27,1,3000,4300
9,16,2,2000,3400
6,20,2,2500,3700
8,16,1,3000,3900
10,34,1,2000,2900
7,4,3,500,1200
8,12,1,1000,1300
5,30,3,800,1500
7,29,3,1500,3000
6,38,3,800,1500
10,6,3,500,1300
9,43,2,2500,4300
5,37,3,1200,2200
10,49,2,800,1400
7,22,3,2500,5100
6,32,3,2000,3800
9,52,2,800,1400
9,40,2,1000,1700
8,46,3,1500,3200
9,49,2,3000,5200
10,37,2,2000,3600
5,17,2,1200,1700
8,39,3,2500,5300
6,31,2,1000,1500
6,22,2,2000,3000
9,44,2,500,900
5,5,1,2500,3200
8,48,1,3000,3900
7,50,1,800,1000
7,25,3,1200,2400
9,37,2,3000,5200
7,22,2,2000,3100
8,29,2,1500,2500
7,7,3,1200,2400
6,47,3,1000,1900
5,47,2,1500,2100
9,38,2,800,1400
6,14,2,1000,1500
7,45,3,1000,2000
7,3,3,1500,3900
10,55,2,800,1400
10,18,2,3000,5400
7,11,1,1500,1900
6,52,1,2500,3000
6,36,3,500,1000
9,51,3,1500,3400
9,7,3,2500,5600
9,50,3,1200,2700
6,28,2,1500,2200
8,19,3,500,1100
9,6,1,1200,1800
9,5,1,1200,1900
10,4,1,500,900
9,44,3,3000,6700
7,14,2,1500,2300
6,43,1,1500,1800
9,51,1,2500,3400
10,14,3,1000,2300
7,4,1,1000,1500
9,47,3,1500,3400
6,29,3,1500,2900
9,32,3,3000,6700
6,38,1,2500,3000
8,16,1,800,1000
7,53,3,500,1000
9,2,1,3000,5600
7,28,2,1000,1600
8,40,2,800,1300
7,26,2,2000,3100
9,21,2,3000,5200
9,60,2,500,900
6,20,2,2000,3000
10,55,3,500,1200
6,26,1,1200,1400
6,39,2,3000,4400
8,17,3,1000,2100
8,56,3,3000,6400
9,40,3,1200,2700
10,35,1,2500,3600
9,53,1,3000,4100
10,53,1,3000,4300
9,45,2,2500,4300
7,15,2,1000,1600
8,58,3,1000,2100
10,49,2,2000,3600
6,52,1,1500,1800
9,37,3,3000,6700
10,34,2,2000,3600
8,48,3,2500,5300
7,55,1,1200,1500
8,14,2,500,800
8,30,3,2500,5300
10,50,3,1000,2300
6,8,3,2000,3800
10,6,3,3000,7500
10,9,2,1000,1800
10,50,2,2000,3600
9,25,3,800,1800
8,54,3,2500,5300
8,45,2,500,800
7,15,3,1500,3000
7,5,2,800,1400
10,10,3,1500,3500
8,20,1,1500,2000
7,27,1,1200,1500
6,36,3,1000,1900
9,5,3,2500,6400
9,15,2,1000,1700
6,40,2,3000,4400
9,0,2,1500,3900
5,4,2,2000,3400
8,40,2,1500,2500
7,12,2,3000,4700
9,24,3,2000,4500
8,44,2,500,800
9,0,3,500,1700
9,31,2,1200,2100
8,14,3,1200,2600
8,43,3,1000,2100
10,41,1,1500,2200
6,37,2,1000,1500
10,20,3,2500,5800
9,8,3,2000,4500
7,58,2,1000,1600
8,51,2,2000,3300
10,4,1,1200,2100
10,23,1,2500,3600
9,34,1,3000,4100
8,47,3,1500,3200
8,52,3,2000,4300
10,14,2,500,900
9,20,3,1200,2700
10,52,2,1500,2700
8,8,1,500,700
8,7,1,1200,1600
5,24,2,2000,2800
6,37,3,1000,1900
10,6,2,2500,4800
7,44,2,1200,1900
7,60,1,2000,2500
10,23,3,2000,4700
9,17,1,800,1100
6,42,1,500,600
9,15,1,1200,1700
10,13,3,1200,2800
6,49,1,500,600
7,8,3,1500,3000
9,42,1,1000,1400
9,50,1,2000,2800
8,16,1,1000,1300
10,7,3,800,1900
7,49,2,800,1200
8,14,3,500,1100
6,29,3,500,1000
9,54,2,2500,4300
10,45,2,800,1400
10,38,1,800,1200
10,39,3,2000,4700
10,33,2,3000,5400
7,27,1,800,1000
7,55,1,2500,3100
6,26,2,3000,4400
9,46,1,2000,2800
9,42,2,2000,3400
10,59,2,800,1400
9,5,2,800,1600
6,35,1,2000,2400
10,22,3,2500,5800
9,38,2,2000,3400
10,32,1,1000,1400
6,54,1,2000,2400
6,7,2,1200,1800
10,49,3,500,1200
9,53,3,1500,3400
8,17,3,1500,3200
7,0,1,1000,1900
9,25,1,1000,1400
8,47,3,1200,2600
9,29,2,1000,1700
7,46,2,800,1200
8,10,3,500,1100
10,28,3,2500,5800
8,28,2,1500,2500
7,7,2,2500,3900
10,43,3,3000,7000
7,19,1,1200,1500
10,3,1,1200,2200
7,49,1,1500,1900
8,7,1,3000,3900
8,8,2,1200,2000
7,53,3,2000,4100
10,55,3,500,1200
8,29,1,2000,2600
8,36,2,2500,4100
7,25,1,2000,2500
10,29,3,2000,4700
10,54,1,1200,1700
10,25,3,800,1900
9,47,2,1200,2100
6,4,3,800,1900
7,12,2,2000,3100
9,6,1,1500,2200
5,38,1,800,900
10,31,2,3000,5400
9,40,3,2000,4500
6,28,1,3000,3600
8,19,2,500,800
8,4,2,3000,6000
6,3,2,1500,2900
10,55,1,2500,3600
8,35,3,500,1100
8,41,1,2000,2600
8,32,1,500,700
6,51,2,800,1200
7,11,1,1200,1500
7,33,3,1000,2000
7,58,2,2500,3900
9,43,3,500,1100
6,21,1,2500,3000
8,46,3,1000,2100
6,37,3,1000,1900
7,41,3,2500,5100
10,45,1,1500,2200
6,41,2,1000,1500
5,41,3,2500,4600
6,1,2,1500,3200
9,21,2,1200,2100
5,9,1,1500,1700
10,49,3,500,1200
8,8,3,2500,5300
9,11,3,1000,2200
6,26,2,1200,1800
8,18,3,3000,6400
7,15,2,3000,4700
6,43,3,3000,5800
7,49,2,2500,3900
9,51,3,1000,2200
7,41,2,2000,3100
5,45,3,800,1500
7,48,1,1500,1900
8,9,2,800,1300
6,56,2,500,700
8,25,3,2000,4300
6,5,2,1200,2000
9,59,1,2000,2800
9,2,2,3000,7000
10,30,2,500,900
9,16,1,1000,1400
7,38,3,2500,5100
10,15,2,800,1400
8,26,3,3000,6400
9,53,2,500,900
7,15,3,1000,2000
8,0,3,2000,6400
7,26,1,800,1000
6,4,3,500,1200
9,2,3,2500,7600
7,47,1,2000,2500
10,15,3,800,1900
9,48,2,1000,1700
9,34,2,1000,1700
8,30,3,1000,2100
9,45,2,500,900
7,2,1,500,800
7,32,2,3000,4700
7,48,3,1200,2400
8,55,1,2000,2600
7,51,2,2500,3900
10,28,2,2000,3600
10,44,2,2000,3600
6,51,1,2500,3000
10,38,1,1500,2200
6,5,2,1500,2500
8,38,3,2500,5300
10,28,2,3000,5400
10,55,2,2500,4500
9,50,1,800,1100
9,32,3,1000,2200
8,54,3,3000,6400
8,4,1,2000,3200
7,60,3,500,1000
7,43,2,2000,3100
7,48,1,1000,1200
6,25,2,1500,2200
5,1,3,1000,2600
8,24,3,800,1700
8,45,2,1200,2000
8,44,2,1200,2000
9,54,1,3000,4100
10,28,1,2000,2900
8,4,3,1500,3900
7,45,3,1000,2000
8,14,1,1200,1600
9,50,2,500,900
8,36,2,3000,4900
5,39,1,800,900
8,45,3,3000,6400
6,49,2,800,1200
10,41,1,3000,4300
8,33,2,1000,1600
7,37,1,1000,1200
10,58,1,800,1200
5,19,1,1000,1100
8,14,2,1500,2500
10,12,3,1500,3500
10,19,3,800,1900
7,10,3,1000,2000
10,39,3,2000,4700
7,52,1,800,1000
10,49,3,1500,3500
7,26,3,500,1000
8,34,2,1500,2500
6,51,3,2500,4800
8,4,3,500,1300
10,26,2,3000,5400
6,38,1,2000,2400
8,55,2,2500,4100
10,32,3,800,1900
6,29,1,1500,1800
6,9,1,500,600
8,55,3,2500,5300
5,52,2,2000,2800
5,31,3,3000,5500
7,31,1,800,1000
10,29,1,1200,1700
8,3,1,1500,2500
8,56,3,3000,6400
9,0,1,2500,5200
10,46,2,2500,4500
6,25,1,1200,1400
8,18,1,2500,3300
6,48,3,1500,2900
9,39,1,1000,1400
10,23,2,2000,3600
9,38,3,2500,5600
5,2,1,1000,1500
7,33,2,1000,1600
9,8,2,2000,3400
10,39,3,1500,3500
8,32,3,3000,6400
8,30,1,2000,2600
8,7,2,1500,2500
10,30,2,1200,2200
10,30,1,2500,3600
10,15,1,800,1200
5,28,2,2500,3500
10,44,1,2500,3600
7,58,2,500,800
10,13,3,2000,4700
8,24,2,1000,1600
8,21,3,2000,4300
9,30,1,1200,1700
9,19,1,1500,2100
9,13,3,3000,6700
7,22,3,1500,3000
7,36,3,2500,5100
9,49,1,1500,2100
9,45,1,2000,2800
8,16,3,3000,6400
5,52,3,1500,2700
7,17,1,800,1000
9,37,1,1200,1700
10,57,3,1200,2800
5,6,2,2000,3000
6,43,1,500,600
